2026-07-28T15:57:42.173151Z [info     ] Page 74: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:42.338649Z [info     ] Page 75: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:42.497365Z [info     ] Page 76: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:42.841325Z [info     ] Page 77: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:43.005728Z [info     ] Page 78: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:43.301654Z [info     ] Page 79: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:43.466231Z [info     ] Page 80: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:43.638535Z [info     ] Page 81: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:43.803884Z [info     ] Page 82: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:43.965483Z [info     ] Page 83: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:44.173288Z [info     ] Page 84: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:44.341119Z [info     ] Page 85: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:44.507614Z [info     ] Page 86: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:44.669775Z [info     ] Page 87: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:44.842314Z [info     ] Page 88: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:45.181622Z [info     ] Page 89: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:45.345692Z [info     ] Page 90: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:45.512801Z [info     ] Page 91: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:45.697369Z [info     ] Page 92: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:45.860646Z [info     ] Page 93: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:46.036906Z [info     ] Page 94: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:46.376777Z [info     ] Page 95: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:46.551174Z [info     ] Page 96: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:46.722851Z [info     ] Page 97: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:46.895262Z [info     ] Page 98: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:47.069192Z [info     ] Page 99: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:47.252374Z [info     ] Page 100: 9 articles           layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:47.438870Z [info     ] Page 101: 9 articles           layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:47.784102Z [info     ] Page 102: 9 articles           layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:49.068716Z [info     ] Page 103: 9 articles           layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:49.228952Z [info     ] Page 104: 7 articles           layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:49.229486Z [info     ] Total articles collected: 934  layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:49.229736Z [info     ] Artículos encontrados para descargar cantidad=934 layer=bronze module_name=lakehouse.pipeline.ingestion
